时间,数值,单位,地区
2009年,0.4806,米,北京市
2007年,0.4839,米,北京市
2006年,0.318,米,北京市
2005年,0.4107,米,北京市
2004年,0.4835,米,北京市
2003年,0.4445,米,北京市
2002年,0.3704,米,北京市
2001年,0.3389,米,北京市
2000年,0.3711,米,北京市
1999年,0.2669,米,北京市
1998年,0.7317,米,北京市
1997年,0.4309,米,北京市
1996年,0.7009,米,北京市
1995年,0.5725,米,北京市
1994年,0.8132,米,北京市
1993年,0.5067,米,北京市
1992年,0.5415,米,北京市
1991年,0.7479,米,北京市
1990年,0.6973,米,北京市
1989年,0.4422,米,北京市
1988年,0.6733,米,北京市
1987年,0.6839,米,北京市
1986年,0.6653,米,北京市
1985年,0.721,米,北京市
1984年,0.4888,米,北京市
1983年,0.4899,米,北京市
1982年,0.5444,米,北京市
1981年,0.3932,米,北京市
1980年,0.3807,米,北京市
1979年,0.7184,米,北京市
1978年,0.6648,米,北京市
1977年,0.779,米,北京市
1976年,0.684,米,北京市
1975年,0.3928,米,北京市
1974年,0.4747,米,北京市
1973年,0.6982,米,北京市
1972年,0.3742,米,北京市
1971年,0.5112,米,北京市
1970年,0.597,米,北京市
1969年,0.9132,米,北京市
1968年,0.3867,米,北京市
1967年,0.5934,米,北京市
1966年,0.5279,米,北京市
1965年,0.2618,米,北京市
1964年,0.8177,米,北京市
1963年,0.7756,米,北京市
1962年,0.3669,米,北京市
1961年,0.5998,米,北京市
1960年,0.5271,米,北京市
1959年,1.406,米,北京市
1958年,0.6919,米,北京市
1957年,0.4868,米,北京市
1956年,1.1157,米,北京市
1955年,0.9332,米,北京市
1954年,0.9614,米,北京市
1953年,0.6577,米,北京市
1952年,0.5573,米,北京市
1951年,0.4816,米,北京市
1950年,0.9109,米,北京市
1949年,0.921,米,北京市
