position;square;price;direction;type;name;
0;190;20000;0;4室2厅2卫;中信城(别墅);
0;190;20000;0;4室2厅2卫;中信城(别墅);
5;400;15000;0;4室3厅3卫;融创上城;
0;500;15000;0;5室3厅2卫;中海莱茵东郡;
5;500;15000;0;5室3厅4卫;融创上城(别墅);
1;320;15000;1;1室1厅1卫;长江花园;
0;143;12000;0;3室2厅2卫;融创上城;
0;200;10000;0;4室3厅2卫;中海莱茵东郡(别墅);
0;207;9000;0;4室3厅4卫;中海莱茵东郡;
0;130;8500;0;3室2厅2卫;伟峰东第;
5;150;7000;0;3室2厅2卫;融创上城;
2;178;6000;0;4室2厅2卫;鸿城国际花园;
5;190;6000;0;3室2厅2卫;亚泰豪苑C栋;
1;150;6000;0;5室1厅2卫;通安新居A区;
2;165;6000;0;3室2厅2卫;万科惠斯勒小镇;
0;64;5500;0;1室1厅1卫;保利中央公园;
2;105;5500;0;2室2厅1卫;虹馆;
1;160;5300;0;3室2厅1卫;昊源高格蓝湾;
2;170;5100;0;4室2厅2卫;亚泰鼎盛国际;
0;155;5000;0;3室2厅2卫;中海水岸馨都;
5;128;5000;0;4室2厅1卫;长影世纪村;
0;145;4500;0;3室2厅2卫;富奥临河湾;
2;92;4200;0;3室2厅1卫;御翠豪庭尚府一期;
0;75;4100;0;1室1厅1卫;恒大雅苑;
5;105;4000;0;2室1厅1卫;南湖名家;
2;93;4000;0;3室2厅1卫;御翠豪庭尚府一期;
5;121;4000;0;3室1厅1卫;万达广场;
0;104;4000;0;2室1厅1卫;棠棣;
1;135;4000;0;3室2厅2卫;万科蓝山;
5;98;4000;0;2室2厅1卫;华亿红府;
0;128;3800;0;3室2厅1卫;复地哥德堡森林;
2;154;3700;0;3室2厅2卫;长春明珠;
0;100;3700;0;2室2厅1卫;翡翠花溪;
4;66;3700;0;1室1厅1卫;长客厂南;
2;106;3600;0;2室2厅1卫;虹馆;
5;132;3500;0;3室2厅1卫;大禹城邦;
1;135;3500;0;3室2厅1卫;昊源高格蓝湾;
0;130;3500;0;3室2厅1卫;中海国际社区(AJ区);
2;70;3500;0;2室1厅1卫;中信御园;
0;145;3500;0;3室2厅2卫;万盛东城;
5;132;3500;0;3室2厅2卫;大禹城邦;
5;100;3300;0;2室2厅1卫;国信南湖公馆;
5;75;3200;0;1室1厅1卫;南湖祥水湾;
0;120;3200;0;3室3厅2卫;复地哥德堡森林;
2;95;3200;0;3室2厅1卫;万科金域长春;
0;106;3200;0;2室2厅1卫;富腾天下城;
5;118;3200;0;3室2厅2卫;融创上城(别墅);
1;130;3200;0;3室2厅1卫;万龙名城;
0;137;3200;0;3室2厅2卫;中海国际社区(AJ区);
0;160;3000;0;3室2厅2卫;富奥花园C区;
1;88;3000;0;2室2厅1卫;万科蓝山;
2;90;3000;0;2室1厅1卫;秋实e景二期;
0;95;3000;0;2室2厅1卫;环球凯旋公馆;
4;122;3000;0;3室2厅1卫;御景名家A区;
5;60;3000;0;2室1厅1卫;桂林小区;
0;102;3000;0;2室2厅1卫;东方万达城;
5;75;3000;0;2室2厅1卫;华亿红府;
1;95;3000;0;2室2厅1卫;昊源高格蓝湾;
2;87;3000;0;2室2厅1卫;保利林语;
0;92;2950;0;2室2厅1卫;浦东新城;
2;85;2900;0;2室2厅1卫;秋实e景二期;
0;85;2900;0;3室2厅2卫;开发区六小区;
2;89;2800;0;2室2厅1卫;豪苑翡翠城;
2;127;2800;0;3室2厅2卫;国税繁荣小区;
0;97;2800;0;2室2厅1卫;万科城;
0;148;2800;0;3室2厅2卫;富奥花园C区;
0;92;2800;0;2室2厅1卫;华润凯旋门;
5;120;2800;0;3室2厅1卫;西康小区;
0;89;2800;0;2室2厅1卫;万科城;
0;148;2800;0;3室2厅2卫;富奥花园C区;
0;70;2800;0;2室1厅1卫;复地哥德堡森林;
2;92;2800;0;2室2厅1卫;保利金香槟;
0;135;2800;0;3室2厅1卫;净月富奥A区;
2;89;2800;0;2室2厅1卫;豪苑翡翠城;
0;110;2700;0;2室2厅1卫;临河风景;
0;88;2700;0;1室1厅1卫;中海净月华庭;
5;95;2700;0;2室2厅1卫;大禹城邦;
0;90;2700;0;2室1厅1卫;阳光城;
0;89;2700;0;2室2厅1卫;中海国际社区(AJ区);
2;110;2700;0;2室2厅1卫;长春明珠;
0;90;2700;0;2室1厅1卫;万科城;
1;81;2700;0;2室2厅1卫;昊源高格蓝湾;
1;117;2600;0;2室2厅1卫;长江花园;
5;75;2600;0;2室1厅1卫;一品红城;
0;86;2600;0;2室2厅1卫;中海净月华庭;
0;90;2600;0;2室2厅1卫;倚澜观邸(二期);
4;85;2600;0;2室1厅1卫;新城吾悦广场;
5;80;2600;0;2室2厅1卫;清河街道万宝社区;
0;92;2600;1;2室2厅1卫;吉大菲尔瑞特;
5;50;2600;0;1室1厅1卫;华亿红府;
2;100;2600;0;2室2厅1卫;长春明珠;
2;114;2600;0;3室1厅1卫;长春明珠;
0;110;2600;0;2室2厅1卫;富奥花园C区;
0;110;2600;0;2室2厅1卫;阳光帝景;
4;92;2600;0;2室2厅1卫;融和嘉苑;
0;96;2500;0;2室2厅1卫;华荣泰时代;
1;92;2500;0;2室2厅1卫;亚泰樱花苑;
3;105;2500;0;2室2厅1卫;证大光明城一期;
5;120;2500;0;3室2厅1卫;地矿花园;
5;70;2500;0;2室1厅1卫;长影世纪村;
5;94;2500;0;3室1厅1卫;东安开运福里;
